vacancy_name,experience,lvl,views,applications,part_of_url,technologies
engineer team,2,middle,51,4,https://djinni.co/jobs/500726-middle-data-engineer-data-platform-team-/,"['postgresql', 'aws', 'python', 'jira', 'linux', 'git', 'hbase', 'nifi', 'docker', 'sql']"
engineer,2,middle,124,40,https://djinni.co/jobs/511546-python-engineer/,"['postgresql', 'jira', 'python', 'git', 'docker', 'flask', 'fastapi']"
developer,2,middle,208,55,https://djinni.co/jobs/511455-python-developer/,"['nosql', 'aws', 'python', 'sql']"
developer,2,middle,9,1,https://djinni.co/jobs/365969-python-developer-middle-/,"['nosql', 'devops', 'aws', 'python', 'django', 'flask', 'sql']"
developer,2,middle,102,15,https://djinni.co/jobs/503065-strong-python-developer/,"['devops', 'postgresql', 'aws', 'python', 'jira', 'elasticsearch', 'django', 'redis', 'docker']"
backend developer,2,middle,90,16,https://djinni.co/jobs/489358-middle-python-back-end-developer-v-avstraliis/,"['aws', 'rest', 'api', 'django', 'docker']"
developer,2,middle,114,38,https://djinni.co/jobs/500790-python-developer/,"['aws', 'rest', 'django', 'redis', 'drf', 'docker']"
backend engineer,2,middle,54,12,https://djinni.co/jobs/511302-middle-python-back-end-engineer-vchasno-/,"['postgresql', 'aws', 'python', 'css', 'elasticsearch', 'linux', 'mongodb', 'react', 'redis', 'windows', 'js', 'docker']"
developer,2,middle,42,8,https://djinni.co/jobs/502362-python-developer-senior/,"['json', 'python', 'api', 'elasticsearch', 'linux', 'git', 'pytest', 'redis', 'javascript', 'docker', 'flask']"
engineer,2,middle,42,3,https://djinni.co/jobs/511222-network-engineer/,['aws']
developer,2,middle,111,22,https://djinni.co/jobs/511189-python-developer/,"['devops', 'keras', 'python', 'pytorch', 'git', 'numpy', 'pandas', 'ai']"
developer fullstack,2,middle,92,24,https://djinni.co/jobs/496114-fullstack-python-developer/,"['nosql', 'devops', 'postgresql', 'aws', 'python', 'rest', 'microsoft', 'mongodb', 'django', 'react', 'pytest', 'redis', 'drf', 'flask', 'terraform', 'js', 'docker', 'ansible']"
developer,2,middle,107,44,https://djinni.co/jobs/510812-python-developer/,"['postgresql', 'aws', 'python', 'rest', 'asyncio', 'mongodb', 'django', 'git', 'pytorch', 'ai', 'fastapi', 'docker', 'flask', 'sql']"
developer,2,middle,245,44,https://djinni.co/jobs/484207-python-developer/,"['nosql', 'postgresql', 'python', 'rest', 'asyncio', 'linux', 'mongodb', 'django', 'api', 'elasticsearch', 'redis', 'drf', 'ansible', 'docker', 'bash', 'flask', 'sql']"
developer,2,middle,96,10,https://djinni.co/jobs/463004-middle-python-developer/,"['sqlalchemy', 'postgresql', 'aws', 'python', 'beautifulsoup', 'networking', 'linux', 'html', 'api', 'selenium', 'flask']"
developer,2,middle,167,31,https://djinni.co/jobs/436406-python-django-developer/,"['laravel', 'python', 'html', 'django', 'git', 'ai', 'js', 'docker']"
developer,2,middle,203,70,https://djinni.co/jobs/510152-middle-python-developer/,"['devops', 'postgresql', 'python', 'rest', 'api', 'mongodb', 'linux', 'django', 'git', 'redis', 'javascript', 'docker', 'flask', 'fastapi']"
engineer software,2,middle,50,4,https://djinni.co/jobs/509635-c-software-engineer/,"['algorithms', 'bash', 'python']"
engineer,2,middle,93,20,https://djinni.co/jobs/509543-qa-engineer-python-/,"['postgresql', 'jira', 'oop', 'python', 'api', 'linux', 'django', 'git', 'selenium', 'sql']"
developer,2,middle,85,12,https://djinni.co/jobs/509189-middle-python-developer/,"['postgresql', 'python', 'api', 'html', 'django', 'git', 'docker']"
engineer,2,middle,18,0,https://djinni.co/jobs/499392-senior-embedded-automation-engineer-python-34/,"['jira', 'bash', 'python']"
developer,2,middle,72,9,https://djinni.co/jobs/499127-django-developer-middle-/,"['laravel', 'postgresql', 'aws', 'ux', 'css', 'html', 'mongodb', 'django', 'elasticsearch', 'redis', 'javascript', 'docker', 'terraform']"
developer fullstack,2,middle,159,62,https://djinni.co/jobs/509044-python-full-stack-developer-for-a-metaverse-p/,"['devops', 'oop', 'python', 'django', 'react', 'git', 'ai', 'fastapi', 'javascript', 'js', 'sql']"
developer,2,middle,132,50,https://djinni.co/jobs/464106-python-developer/,"['aws', 'jira', 'python', 'rest', 'api', 'linux', 'django', 'git', 'docker']"
engineer software,2,middle,97,14,https://djinni.co/jobs/427952-python-software-engineer/,"['nosql', 'python', 'networking', 'api', 'algorithms', 'sql']"
engineer,2,middle,26,4,https://djinni.co/jobs/484144-qa-automation-engineer/,"['networking', 'linux', 'docker', 'python']"
developer,2,middle,99,23,https://djinni.co/jobs/508437-middle-python-developer/,"['sqlalchemy', 'postgresql', 'aws', 'python', 'rest', 'api', 'django', 'orm', 'docker', 'flask', 'sql']"
engineer software,2,middle,79,35,https://djinni.co/jobs/508388-python-software-engineer/,"['nosql', 'python', 'linux', 'docker', 'fastapi']"
developer,2,middle,96,9,https://djinni.co/jobs/508073-python-developer-middle/,"['json', 'python', 'api', 'elasticsearch', 'linux', 'git', 'pytest', 'redis', 'javascript', 'docker', 'flask']"
engineer,2,middle,17,1,https://djinni.co/jobs/507743-hadoop-engineer/,"['python', 'impala', 'hbase', 'oozie', 'nifi']"
developer,2,middle,110,31,https://djinni.co/jobs/507550-middle-python-developer/,"['oop', 'python', 'beautifulsoup', 'html', 'css', 'git', 'javascript', 'flask', 'sql']"
developer,2,middle,24,8,https://djinni.co/jobs/497757-python-developer-middle-tornado-aiohttp-/,"['postgresql', 'python', 'ux', 'linux', 'mongodb', 'macos', 'redis', 'js']"
developer fullstack,2,middle,83,14,https://djinni.co/jobs/507027-full-stack-developer-vue-js-python-/,"['jira', 'python', 'fullstack', 'django', 'docker']"
developer,2,middle,69,33,https://djinni.co/jobs/507022-python-developer-js-/,"['postgresql', 'python', 'oop', 'rest', 'html', 'css', 'django', 'git', 'pytest', 'js', 'docker', 'ansible']"
developer,2,middle,55,4,https://djinni.co/jobs/492290-python-for-global-product-audit-and-assurance/,"['nosql', 'sqlalchemy', 'postgresql', 'aws', 'python', 'ux', 'asyncio', 'linux', 'mongodb', 'git', 'pandas', 'flask', 'fastapi']"
engineer software,2,middle,79,9,https://djinni.co/jobs/506633-middle-python-software-engineer-shafa-/,"['nosql', 'postgresql', 'python', 'fullstack', 'css', 'api', 'mongodb', 'django', 'react', 'graphql', 'elasticsearch', 'redis', 'js', 'docker']"
developer,2,middle,115,36,https://djinni.co/jobs/454834-python-developer/,"['docker', 'aws', 'python', 'git']"
engineer,3,middle/senior,2,0,https://djinni.co/jobs/494977-video-engineer-python-s-/,"['pytorch', 'algorithms', 'python']"
developer fullstack,3,middle/senior,6,0,https://djinni.co/jobs/513501-middle-senior-full-stack-developer-vue-js-pyt/,"['jira', 'python', 'django', 'ai', 'docker']"
developer,3,middle/senior,10,2,https://djinni.co/jobs/513434-senior-python-developer/,"['postgresql', 'python', 'elasticsearch', 'django', 'react', 'redis']"
developer,3,middle/senior,40,3,https://djinni.co/jobs/513377-python-developer/,"['devops', 'aws', 'jira', 'python', 'rest', 'networking', 'linux', 'django', 'git', 'api', 'docker']"
developer,3,middle/senior,9,0,https://djinni.co/jobs/513236-php-developer/,"['postgresql', 'oop', 'mongodb', 'linux', 'redis', 'docker', 'sql']"
developer,3,middle/senior,31,2,https://djinni.co/jobs/513227-bi-rozrobnik-bi-developer-/,"['json', 'aws', 'python', 'sql']"
developer,3,middle/senior,10,1,https://djinni.co/jobs/126674-senior-python-developer/,"['sqlalchemy', 'postgresql', 'aws', 'python', 'api', 'docker']"
